publishedAt,authorDisplayName,textDisplay,likeCount;;;;;;;;;
2023-05-08T12:01:24Z,Agus Antara,Kita semua adalah presiden jangan ambil pusing lur...😂,0;;;;;;;;;
2023-05-08T11:44:26Z,Baim Brahimi,Gpp banyak capres.. Siapa tau nanti jadi menteri.. Eeeeeh,0;;;;;;;;;
"2023-05-08T11:30:11Z,Andri Hermawan,""Kurang banyak..<br>Kalau g pakai trace hold, bisa lebih banyak. Lebih banyak opsi lebih baik."",0";;;;;;;;;
"2023-05-08T11:30:05Z,Jefri Bn,""Atas dukungan yang dpt kami pantau didesa selama ini kalau kalau pak Ganjar pasangan dengan pak Erik  Tidur,  maka semua pendamping Desa akan mengajak semua masyarakat Yg terima bantuan akan bergabung semuanya memilih PDIP untuk  menangkan pak Ganjar pasangan GENTAR"",0";;;;;;;;;
2023-05-08T11:23:24Z,Ajie Kocek,PAK ANIES DONG❤,0;;;;;;;;;
2023-05-08T09:37:05Z,TKJ-iN,Pilih capres yg sudah mempunyai prestasi merubah  wilayahnya jangan pilih yang suka duduk enak jarang turun ke masyarakat dan badannya berisi,0;;;;;;;;;
2023-05-08T09:19:38Z,Kanip Kanip,mugo2 sek dadi pak Prabowo alfatihah,0;;;;;;;;;
"2023-05-08T08:59:18Z,Daniel Khan,""Kita pilih capres yang berani nembak sejuta per kepala wakwkwk,  selesai calon langsung korupsi besar-besaran."",0";;;;;;;;;
2023-05-08T08:42:09Z,Wiring Febuari,Ganjar pranowo akan jadi presiden Palestina,0;;;;;;;;;
"2023-05-08T08:22:21Z,ardimas fajar,""Ganjar petugas partai ,bukan real untuk rakyat ...."",0";;;;;;;;;
2023-05-08T08:18:04Z,Najamuddin,Mantan itu baru kren.,0;;;;;;;;;
2023-05-08T08:04:37Z,7Nans,Strategi karna udh psti mnang banteng merah dan nmbhin  enemy nmbh opsi buat mecah suara buat menangin bang abas,0;;;;;;;;;
"2023-05-08T07:25:10Z,Kalangkang ЯR,""Kalo dari fisik Ganjar Pranowo paling keren, Tinggi + rambut putih layaknya Joy Biden coy 😂, <br>Tapi Partai nya Waduh 🗿."",0";;;;;;;;;
2023-05-08T07:15:36Z,M farhan Fais,Saya pilih prabowo,0;;;;;;;;;
"2023-05-08T07:13:54Z,Air Langga,""Anis GK usah di libatkan,memangnya Anis itu bisa apa,selain ngeles, pintar ngomong kerja GK becus,ngrampok uang Rakyat, Anis itu komplotan perampok uang pajak rakyat."",0";;;;;;;;;
2023-05-08T06:50:04Z,Jamal Udin,kenapa pk prabowo ga duwet saja sama pk anies.,0;;;;;;;;;
